Row_Number,City_Name,City_Canonical_Name,Lat_Lon,Start_Time,End_Time,Temperature,Pressure,Humidity,Weather_ID
302981,Rice University,"Rice University,Texas,United States","29.71742,-95.41667",1394679600,1394690399,284.24,1035.17,37,800
302982,Rice University,"Rice University,Texas,United States","29.71742,-95.41667",1394690400,1394701199,282.01,1036.9,39,800
302983,Rice University,"Rice University,Texas,United States","29.71742,-95.41667",1394701200,1394711999,279.53,1037.73,45,800
302984,Rice University,"Rice University,Texas,United States","29.71742,-95.41667",1394712000,1394722799,276.38,1038.99,58,800
302985,Old Town,"Old Town,Virginia,United States","44.934231,-68.645309",1394679600,1394690399,267.15,997.48,91,502
302986,Old Town,"Old Town,Virginia,United States","44.934231,-68.645309",1394690400,1394701199,266.13,993.04,96,502
302987,Old Town,"Old Town,Virginia,United States","44.934231,-68.645309",1394701200,1394711999,263.47,991.53,100,501
302988,Old Town,"Old Town,Virginia,United States","44.934231,-68.645309",1394712000,1394722799,261.69,993.02,100,600
302989,Virginia Square,"Virginia Square,Virginia,United States","38.88532,-77.10811",1394679600,1394690399,272.89,1003.15,64,800
302990,Virginia Square,"Virginia Square,Virginia,United States","38.88532,-77.10811",1394690400,1394701199,269.08,1007.88,62,800
302991,Virginia Square,"Virginia Square,Virginia,United States","38.88532,-77.10811",1394701200,1394711999,267.32,1011.31,61,801
302992,Virginia Square,"Virginia Square,Virginia,United States","38.88532,-77.10811",1394712000,1394722799,264.95,1015.97,54,800
302993,Crystal City,"Crystal City,Virginia,United States","38.221169,-90.379013",1394679600,1394690399,274.26,1013.52,56,801
302994,Crystal City,"Crystal City,Virginia,United States","38.221169,-90.379013",1394690400,1394701199,271.75,1013.96,62,800
302995,Crystal City,"Crystal City,Virginia,United States","38.221169,-90.379013",1394701200,1394711999,269,1014.3,74,800
302996,Crystal City,"Crystal City,Virginia,United States","38.221169,-90.379013",1394712000,1394722799,267.38,1014.91,80,800
302997,Midtown,"Midtown,Georgia,United States","35.87952,-84.564102",1394679600,1394690399,272.71,989.13,51,801
302998,Midtown,"Midtown,Georgia,United States","35.87952,-84.564102",1394690400,1394701199,269.77,991.66,48,800
302999,Midtown,"Midtown,Georgia,United States","35.87952,-84.564102",1394701200,1394711999,268.43,992.91,54,800
303000,Midtown,"Midtown,Georgia,United States","35.87952,-84.564102",1394712000,1394722799,267.47,995.21,52,800
303001,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394679600,1394690399,282.12,1012.64,32,800
303002,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394690400,1394701199,279.4,1014.2,38,800
303003,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394701200,1394711999,275.93,1014.79,48,800
303004,Downtown,"Downtown,Texas,United States","29.42651,-98.48858",1394712000,1394722799,273.3,1015.07,58,800
303005,Downtown,"Downtown,Maryland,United States","39.29231,-76.6151",1394679600,1394690399,272.75,986.29,71,800
303006,Downtown,"Downtown,Maryland,United States","39.29231,-76.6151",1394690400,1394701199,268.62,990.61,61,801
303007,Downtown,"Downtown,Maryland,United States","39.29231,-76.6151",1394701200,1394711999,267.05,993.96,59,803
303008,Downtown,"Downtown,Maryland,United States","39.29231,-76.6151",1394712000,1394722799,264.67,998.37,51,800
303009,Wilburton,"Wilburton,Washington,United States","34.918709,-95.309143",1394679600,1394690399,276.66,1006.72,63,800
303010,Wilburton,"Wilburton,Washington,United States","34.918709,-95.309143",1394690400,1394701199,274.14,1007.15,70,800
303011,Wilburton,"Wilburton,Washington,United States","34.918709,-95.309143",1394701200,1394711999,273.53,1006.69,67,800
303012,Wilburton,"Wilburton,Washington,United States","34.918709,-95.309143",1394712000,1394722799,271.7,1006.8,80,800
303013,Northwest Bellevue,"Northwest Bellevue,Washington,United States","47.63194,-122.20236",1394679600,1394690399,283.45,1024.47,83,800
303014,Northwest Bellevue,"Northwest Bellevue,Washington,United States","47.63194,-122.20236",1394690400,1394701199,280.51,1024.09,88,800
303015,Northwest Bellevue,"Northwest Bellevue,Washington,United States","47.63194,-122.20236",1394701200,1394711999,278.77,1023.95,91,801
303016,Northwest Bellevue,"Northwest Bellevue,Washington,United States","47.63194,-122.20236",1394712000,1394722799,278.06,1022.77,93,802
303017,Central City,"Central City,Alabama,United States","38.548939,-89.127007",1394679600,1394690399,272.81,1017.5,62,800
303018,Central City,"Central City,Alabama,United States","38.548939,-89.127007",1394690400,1394701199,270.37,1018.42,75,800
303019,Central City,"Central City,Alabama,United States","38.548939,-89.127007",1394701200,1394711999,267.23,1018.6,86,800
303020,Central City,"Central City,Alabama,United States","38.548939,-89.127007",1394712000,1394722799,265.23,1019.78,82,800
303021,Highland Park,"Highland Park,Alabama,United States","38.184509,-85.753021",1394679600,1394690399,273.25,1007.69,62,800
303022,Highland Park,"Highland Park,Alabama,United States","38.184509,-85.753021",1394690400,1394701199,270.48,1009.25,57,800
303023,Highland Park,"Highland Park,Alabama,United States","38.184509,-85.753021",1394701200,1394711999,268.22,1010.25,52,800
303024,Highland Park,"Highland Park,Alabama,United States","38.184509,-85.753021",1394712000,1394722799,266.09,1012.23,54,800
303025,Fountain Heights,"Fountain Heights,Alabama,United States","33.52181,-86.81988",1394679600,1394690399,277.03,1012.8,50,800
303026,Fountain Heights,"Fountain Heights,Alabama,United States","33.52181,-86.81988",1394690400,1394701199,275.49,1014.61,50,800
303027,Fountain Heights,"Fountain Heights,Alabama,United States","33.52181,-86.81988",1394701200,1394711999,274.95,1015.2,51,800
303028,Fountain Heights,"Fountain Heights,Alabama,United States","33.52181,-86.81988",1394712000,1394722799,274.35,1017.1,51,800
303029,Southside,"Southside,Alabama,United States","33.924541,-86.022469",1394679600,1394690399,279.15,998.69,53,800
303030,Southside,"Southside,Alabama,United States","33.924541,-86.022469",1394690400,1394701199,277.13,1000.74,47,800
303031,Southside,"Southside,Alabama,United States","33.924541,-86.022469",1394701200,1394711999,276.26,1001.74,50,800
303032,Southside,"Southside,Alabama,United States","33.924541,-86.022469",1394712000,1394722799,275.67,1003.8,47,800
303033,Downtown,"Downtown,Idaho,United States","43.62286,-116.21225",1394679600,1394690399,277.94,922.25,70,800
303034,Downtown,"Downtown,Idaho,United States","43.62286,-116.21225",1394690400,1394701199,274.03,921.38,74,800
303035,Downtown,"Downtown,Idaho,United States","43.62286,-116.21225",1394701200,1394711999,272.58,920.2,75,800
303036,Downtown,"Downtown,Idaho,United States","43.62286,-116.21225",1394712000,1394722799,271.46,919.34,72,800
303037,Medical Center Area,"Medical Center Area,Massachusetts,United States","42.33481,-71.07448",1394679600,1394690399,275.59,984.91,97,501
303038,Medical Center Area,"Medical Center Area,Massachusetts,United States","42.33481,-71.07448",1394690400,1394701199,273.87,983.56,100,501
303039,Medical Center Area,"Medical Center Area,Massachusetts,United States","42.33481,-71.07448",1394701200,1394711999,268.55,987.23,91,500
303040,Medical Center Area,"Medical Center Area,Massachusetts,United States","42.33481,-71.07448",1394712000,1394722799,265.07,992.38,74,600
303041,Downtown,"Downtown,Massachusetts,United States","42.35829,-71.05663",1394679600,1394690399,275.56,984.91,97,501
303042,Downtown,"Downtown,Massachusetts,United States","42.35829,-71.05663",1394690400,1394701199,273.84,983.56,100,501
303043,Downtown,"Downtown,Massachusetts,United States","42.35829,-71.05663",1394701200,1394711999,268.53,987.23,91,500
303044,Downtown,"Downtown,Massachusetts,United States","42.35829,-71.05663",1394712000,1394722799,265.05,992.38,74,600
303045,Bryant,"Bryant,New York,United States","34.595928,-92.489052",1394679600,1394690399,282.11,1022.68,43,800
303046,Bryant,"Bryant,New York,United States","34.595928,-92.489052",1394690400,1394701199,278.84,1023.36,65,800
303047,Bryant,"Bryant,New York,United States","34.595928,-92.489052",1394701200,1394711999,277.22,1023.22,66,800
303048,Bryant,"Bryant,New York,United States","34.595928,-92.489052",1394712000,1394722799,276.09,1023.83,76,800
303049,Downtown,"Downtown,Arizona,United States","33.44102,-112.04777",1394679600,1394690399,292.47,943.9,24,802
303050,Downtown,"Downtown,Arizona,United States","33.44102,-112.04777",1394690400,1394701199,292.1,944.57,25,801
303051,Downtown,"Downtown,Arizona,United States","33.44102,-112.04777",1394701200,1394711999,290.48,944.27,25,801
303052,Downtown,"Downtown,Arizona,United States","33.44102,-112.04777",1394712000,1394722799,287.9,943.66,28,800
303053,Elizabeth,"Elizabeth,North Carolina,United States","40.66399,-74.210701",1394679600,1394690399,273.31,982.48,99,500
303054,Elizabeth,"Elizabeth,North Carolina,United States","40.66399,-74.210701",1394690400,1394701199,263.04,988.91,83,802
303055,Elizabeth,"Elizabeth,North Carolina,United States","40.66399,-74.210701",1394701200,1394711999,258.82,993.55,75,802
303056,Elizabeth,"Elizabeth,North Carolina,United States","40.66399,-74.210701",1394712000,1394722799,257.19,998.45,71,802
303057,Dilworth,"Dilworth,North Carolina,United States","46.876629,-96.703407",1394679600,1394690399,273.15,990.99,80,800
303058,Dilworth,"Dilworth,North Carolina,United States","46.876629,-96.703407",1394690400,1394701199,271.94,989.23,82,800
303059,Dilworth,"Dilworth,North Carolina,United States","46.876629,-96.703407",1394701200,1394711999,267.49,988.45,68,800
303060,Dilworth,"Dilworth,North Carolina,United States","46.876629,-96.703407",1394712000,1394722799,264.92,987.35,61,800
303061,Streeterville,"Streeterville,Illinois,United States","41.89843,-87.62141",1394679600,1394690399,264.99,1010.12,74,800
